"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Islas del Canal","CHI","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.25","","","3.09","","3.17","","3.255786","","3.248442","","3.32","","","","3","","",
"China","CHN","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32","","","3.49","","3.52","","3.531463","","3.661104","","3.61","","","","3.7","","",
"Côte d'Ivoire","CIV","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36","","","2.53","","2.73","","2.761981","","2.602573","","3.08","","","","","","",
"Camerún","CMR","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.49","","","2.55","","2.53","","2.296616","","2.151499","","2.6","","","","2.1","","",
"Congo, República Democrática del","COD","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68","","2.21","","1.878857","","2.375762","","2.43","","","","2.5","","",
"Congo, República del","COG","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48","","2.08","","2.077149","","2.376768","","2.49","","","","2.6","","",
"Colombia","COL","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","2.77","","2.87","","2.639637","","2.612351","","2.94","","","","2.9","","",
"Comoras","COM","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48","","","2.45","","2.14","","2.402136","","2.57914","","2.56","","","","","","",
"Cabo Verde","CPV","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55","","","2.91","","2.75","","2.700719","","2.64897","","2.79","","","","2.9","","",
"Estados pequeos del Caribe","CSS","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05","","","2.51","","2.54","","2.685049","","2.60512433333333","","2.43666666666667","","","","2.6","","",
"Cuba","CUB","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.07","","2.2","","2.179734","","2.346459","","2.2","","","","2.2","","",
"Curacao","CUW","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92","","","3.13","","3.24","","3.000577","","2.999061","","3.15","","","","3.2","","",
"República Checa","CZE","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13","","","3.51","","3.14","","3.492416","","3.674309","","3.68","","","","3.3","","",
"Alemania","DEU","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","","","4.11","","4.03","","4.121983","","4.225967","","4.2","","","","4.1","","",
"Djibouti","DJI","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.94","","","2.39","","1.8","","2.149867","","2.32254","","2.63","","","","2.7","","",
